run_order,part_index,repeat_round,source_block_index,run_id,sample_id,target_risk_level,traffic_manager_seed,source,config_path,expected_run_root
1,1,3,2,cvae_high_20260813_0074__tm_20260823,cvae_high_20260813_0074,high,20260823,route_locked_repeatability_v2,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v2\configs\cvae_high_20260813_0074__tm_20260823.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v2\cvae_high_20260813_0074__tm_20260823
2,1,1,1,cvae_low_20260813_0001__tm_20260821,cvae_low_20260813_0001,low,20260821,route_locked_repeatability_v2,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v2\configs\cvae_low_20260813_0001__tm_20260821.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v2\cvae_low_20260813_0001__tm_20260821
3,1,2,3,cvae_medium_20260813_0103__tm_20260822,cvae_medium_20260813_0103,medium,20260822,route_locked_repeatability_v2,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v2\configs\cvae_medium_20260813_0103__tm_20260822.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v2\cvae_medium_20260813_0103__tm_20260822
4,2,3,3,cvae_medium_20260813_0103__tm_20260823,cvae_medium_20260813_0103,medium,20260823,route_locked_repeatability_v2,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v2\configs\cvae_medium_20260813_0103__tm_20260823.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v2\cvae_medium_20260813_0103__tm_20260823
5,2,2,1,cvae_low_20260813_0001__tm_20260822,cvae_low_20260813_0001,low,20260822,route_locked_repeatability_v2,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v2\configs\cvae_low_20260813_0001__tm_20260822.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v2\cvae_low_20260813_0001__tm_20260822
6,2,1,2,cvae_high_20260813_0074__tm_20260821,cvae_high_20260813_0074,high,20260821,route_locked_repeatability_v2,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v2\configs\cvae_high_20260813_0074__tm_20260821.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v2\cvae_high_20260813_0074__tm_20260821
7,3,1,3,cvae_medium_20260813_0103__tm_20260821,cvae_medium_20260813_0103,medium,20260821,route_locked_repeatability_v2,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v2\configs\cvae_medium_20260813_0103__tm_20260821.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v2\cvae_medium_20260813_0103__tm_20260821
8,3,2,2,cvae_high_20260813_0074__tm_20260822,cvae_high_20260813_0074,high,20260822,route_locked_repeatability_v2,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v2\configs\cvae_high_20260813_0074__tm_20260822.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v2\cvae_high_20260813_0074__tm_20260822
9,3,3,1,cvae_low_20260813_0001__tm_20260823,cvae_low_20260813_0001,low,20260823,route_locked_repeatability_v2,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v2\configs\cvae_low_20260813_0001__tm_20260823.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v2\cvae_low_20260813_0001__tm_20260823
