run_id,sample_id,target_risk_level,traffic_manager_seed,repeat_round,source,status,acceptance_status,observed_risk_level,risk_score,target_match,collision_count,minimum_ttc_seconds,minimum_lead_gap_m,minimum_pedestrian_distance_m,sensor_status,server_status,route_status,route_ego_on_route_rate,route_lead_on_route_rate,route_both_on_route_rate,route_maximum_ego_deviation_m,route_maximum_lead_deviation_m,route_verified,rgb_frames,run_dir,metadata_path
cvae_high_20260813_0074__tm_20260821,cvae_high_20260813_0074,high,20260821,1,route_locked_repeatability_v2,completed,failed,high,63.062,True,1,2.008,9.071,2.35,completed,healthy,deviated,0.2575,0.8225,0.0875,81.163,1.24,False,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v2\cvae_high_20260813_0074__tm_20260821\20260813_214557,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v2\cvae_high_20260813_0074__tm_20260821\20260813_214557\metadata.json
cvae_high_20260813_0074__tm_20260822,cvae_high_20260813_0074,high,20260822,2,route_locked_repeatability_v2,completed,failed,high,63.062,True,1,2.008,9.071,2.35,completed,healthy,deviated,0.2575,0.8225,0.0875,81.163,1.24,False,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v2\cvae_high_20260813_0074__tm_20260822\20260813_214655,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v2\cvae_high_20260813_0074__tm_20260822\20260813_214655\metadata.json
cvae_high_20260813_0074__tm_20260823,cvae_high_20260813_0074,high,20260823,3,route_locked_repeatability_v2,completed,failed,high,63.062,True,1,2.008,9.071,2.35,completed,healthy,deviated,0.2575,0.8225,0.0875,81.163,1.24,False,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v2\cvae_high_20260813_0074__tm_20260823\20260813_214348,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v2\cvae_high_20260813_0074__tm_20260823\20260813_214348\metadata.json
cvae_low_20260813_0001__tm_20260821,cvae_low_20260813_0001,low,20260821,1,route_locked_repeatability_v2,completed,failed,low,0.157,True,0,9.965,33.051,8.882,completed,healthy,deviated,0.2575,0.8975,0.1675,81.162,1.093,False,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v2\cvae_low_20260813_0001__tm_20260821\20260813_214409,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v2\cvae_low_20260813_0001__tm_20260821\20260813_214409\metadata.json
cvae_low_20260813_0001__tm_20260822,cvae_low_20260813_0001,low,20260822,2,route_locked_repeatability_v2,completed,failed,low,0.157,True,0,9.965,33.051,8.882,completed,healthy,deviated,0.2575,0.8975,0.1675,81.162,1.093,False,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v2\cvae_low_20260813_0001__tm_20260822\20260813_214533,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v2\cvae_low_20260813_0001__tm_20260822\20260813_214533\metadata.json
cvae_low_20260813_0001__tm_20260823,cvae_low_20260813_0001,low,20260823,3,route_locked_repeatability_v2,completed,failed,low,0.157,True,0,9.965,33.051,8.882,completed,healthy,deviated,0.2575,0.8975,0.1675,81.162,1.093,False,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v2\cvae_low_20260813_0001__tm_20260823\20260813_214719,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v2\cvae_low_20260813_0001__tm_20260823\20260813_214719\metadata.json
cvae_medium_20260813_0103__tm_20260821,cvae_medium_20260813_0103,medium,20260821,1,route_locked_repeatability_v2,completed,failed,low,3.412,False,0,5.101,23.117,6.643,completed,healthy,deviated,0.2575,0.83,0.17,81.162,1.229,False,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v2\cvae_medium_20260813_0103__tm_20260821\20260813_214631,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v2\cvae_medium_20260813_0103__tm_20260821\20260813_214631\metadata.json
cvae_medium_20260813_0103__tm_20260822,cvae_medium_20260813_0103,medium,20260822,2,route_locked_repeatability_v2,completed,failed,low,3.412,False,0,5.101,23.117,6.643,completed,healthy,deviated,0.2575,0.83,0.17,81.162,1.229,False,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v2\cvae_medium_20260813_0103__tm_20260822\20260813_214433,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v2\cvae_medium_20260813_0103__tm_20260822\20260813_214433\metadata.json
cvae_medium_20260813_0103__tm_20260823,cvae_medium_20260813_0103,medium,20260823,3,route_locked_repeatability_v2,completed,failed,low,3.412,False,0,5.101,23.117,6.643,completed,healthy,deviated,0.2575,0.83,0.17,81.162,1.229,False,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v2\cvae_medium_20260813_0103__tm_20260823\20260813_214507,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v2\cvae_medium_20260813_0103__tm_20260823\20260813_214507\metadata.json
