model,mae,rmse,r2,spearman,high_or_critical_recall
random_forest,5.514563957280032,10.137579337905413,0.6015753016948461,0.9024453024453025,0.75
ridge,9.439609215760807,13.136621166349414,0.3309708014886661,0.7976833976833978,0.375
dummy_mean,13.007571759259259,16.206030050733357,-0.018195093858635047,0.022924343513512562,0.0
