run_id,sample_id,target_risk_level,traffic_manager_seed,repeat_round,source,status,acceptance_status,observed_risk_level,risk_score,target_match,collision_count,minimum_ttc_seconds,minimum_lead_gap_m,minimum_pedestrian_distance_m,sensor_status,server_status,route_status,route_ego_on_route_rate,route_lead_on_route_rate,route_both_on_route_rate,route_maximum_ego_deviation_m,route_maximum_lead_deviation_m,route_verified,rgb_frames,run_dir,metadata_path
cvae_high_20260813_0043__tm_20260822,cvae_high_20260813_0043,high,20260822,2,planned_repeatability_v1,completed,completed,high,53.26,True,0,0.71,1.538,5.216,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_high_20260813_0043__tm_20260822\20260813_165638,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_high_20260813_0043__tm_20260822\20260813_165638\metadata.json
cvae_high_20260813_0043__tm_20260823,cvae_high_20260813_0043,high,20260823,0,existing_validation_v2,completed,completed,high,54.164,True,0,0.622,1.275,5.336,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_validation_v2\cvae_high_20260813_0043\20260813_152217,F:\Carla\test\output\model_generated_validation\cvae_validation_v2\cvae_high_20260813_0043\20260813_152217\metadata.json
cvae_high_20260813_0074__tm_20260821,cvae_high_20260813_0074,high,20260821,2,planned_repeatability_v1,completed,completed,high,63.156,True,0,0.0,0.0,2.632,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_high_20260813_0074__tm_20260821\20260813_165516,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_high_20260813_0074__tm_20260821\20260813_165516\metadata.json
cvae_high_20260813_0074__tm_20260822,cvae_high_20260813_0074,high,20260822,0,existing_validation_v2,completed,completed,medium,31.304,False,0,2.822,10.32,2.743,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_validation_v2\cvae_high_20260813_0074\20260813_152031,F:\Carla\test\output\model_generated_validation\cvae_validation_v2\cvae_high_20260813_0074\20260813_152031\metadata.json
cvae_high_20260813_0074__tm_20260823,cvae_high_20260813_0074,high,20260823,1,planned_repeatability_v1,completed,completed,high,60.635,True,0,0.7,1.51,2.632,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_high_20260813_0074__tm_20260823\20260813_164934,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_high_20260813_0074__tm_20260823\20260813_164934\metadata.json
cvae_low_20260813_0001__tm_20260821,cvae_low_20260813_0001,low,20260821,0,existing_validation_v2,completed,completed,medium,38.66,False,0,0.628,1.272,8.324,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_validation_v2\cvae_low_20260813_0001\20260813_151845,F:\Carla\test\output\model_generated_validation\cvae_validation_v2\cvae_low_20260813_0001\20260813_151845\metadata.json
cvae_low_20260813_0001__tm_20260822,cvae_low_20260813_0001,low,20260822,1,planned_repeatability_v1,completed,completed,low,0.157,True,0,8.752,31.614,8.326,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_low_20260813_0001__tm_20260822\20260813_164746,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_low_20260813_0001__tm_20260822\20260813_164746\metadata.json
cvae_low_20260813_0001__tm_20260823,cvae_low_20260813_0001,low,20260823,2,planned_repeatability_v1,completed,completed,medium,40.157,False,0,0.0,0.0,9.0,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_low_20260813_0001__tm_20260823\20260813_165243,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_low_20260813_0001__tm_20260823\20260813_165243\metadata.json
cvae_low_20260813_0034__tm_20260821,cvae_low_20260813_0034,low,20260821,1,planned_repeatability_v1,completed,completed,medium,38.593,False,0,0.62,1.259,9.929,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_low_20260813_0034__tm_20260821\20260813_165145,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_low_20260813_0034__tm_20260821\20260813_165145\metadata.json
cvae_low_20260813_0034__tm_20260822,cvae_low_20260813_0034,low,20260822,2,planned_repeatability_v1,completed,completed,low,0.005,True,0,8.826,29.203,9.804,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_low_20260813_0034__tm_20260822\20260813_165550,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_low_20260813_0034__tm_20260822\20260813_165550\metadata.json
