sample_id,target_risk_level,completed_runs,expected_runs,seeds,score_mean,score_std,score_min,score_max,score_range,modal_observed_level,level_consistency_rate,all_levels_equal,target_match_rate,collision_runs,collision_events
cvae_critical_20260813_0030,critical,3,3,"20260821,20260822,20260823",60.50633333333334,0.3677721214737919,60.294,60.931,0.6370000000000005,high,1.0,True,0.0,0,0
cvae_critical_20260813_0046,critical,3,3,"20260821,20260822,20260823",67.15766666666667,0.008082903768652332,67.153,67.167,0.013999999999995794,high,1.0,True,0.0,0,0
cvae_critical_20260813_0058,critical,3,3,"20260821,20260822,20260823",65.038,4.754647726172776,59.548,67.823,8.274999999999991,high,1.0,True,0.0,0,0
cvae_high_20260813_0033,high,3,3,"20260821,20260822,20260823",87.033,0.7104160752685692,86.538,87.847,1.3089999999999975,critical,1.0,True,0.0,3,6
cvae_high_20260813_0043,high,3,3,"20260821,20260822,20260823",53.415,0.684785367834333,52.821,54.164,1.3430000000000035,high,1.0,True,1.0,0,0
cvae_high_20260813_0074,high,3,3,"20260821,20260822,20260823",51.69833333333333,17.706933227787733,31.304,63.156,31.852,high,0.6666666666666666,False,0.6666666666666666,0,0
cvae_low_20260813_0001,low,3,3,"20260821,20260822,20260823",26.324666666666662,22.674221846258213,0.157,40.157,40.0,medium,0.6666666666666666,False,0.3333333333333333,0,0
cvae_low_20260813_0034,low,3,3,"20260821,20260822,20260823",26.201000000000004,22.697384166462886,0.005,40.005,40.0,medium,0.6666666666666666,False,0.3333333333333333,0,0
cvae_low_20260813_0122,low,3,3,"20260821,20260822,20260823",26.366333333333333,22.663350509872394,0.212,40.212,40.0,medium,0.6666666666666666,False,0.3333333333333333,0,0
cvae_medium_20260813_0061,medium,3,3,"20260821,20260822,20260823",28.889333333333337,22.629586967802425,2.787,42.989,40.202,medium,0.6666666666666666,False,0.6666666666666666,0,0
cvae_medium_20260813_0082,medium,3,3,"20260821,20260822,20260823",29.747666666666664,22.559387765037716,3.722,43.722,40.0,medium,0.6666666666666666,False,0.6666666666666666,0,0
cvae_medium_20260813_0103,medium,3,3,"20260821,20260822,20260823",29.709333333333333,22.780895973015053,3.412,43.412,40.0,medium,0.6666666666666666,False,0.6666666666666666,0,0
