sample_id,reason,robust_rank_unused_pool,robust_predicted_risk_score,predicted_risk_mean,predicted_risk_std,bootstrap_top_k_frequency,collision_affinity,collision_boundary_score,predicted_collision_probability_mean,predicted_collision_probability_std,collision_propensity_base
lhs_high_20260817_0203,near_high_threshold,172,49.951582026089476,51.47559568564531,3.048027319111671,0.0,0.21784600180597452,0.35614583673789973,0.2130466458233125,0.09712932534822291,0.465625
lhs_high_20260817_0022,near_critical_boundary,1,66.56325611774669,68.93252286712492,4.738533498756459,0.9066666666666666,0.43549184233084715,0.5021042505769496,0.788845582010582,0.131219817250566,0.8735677083333333
lhs_high_20260817_0041,uncertain_collision_boundary,33,56.57886119248996,59.51474290049805,5.871763416016179,0.31333333333333335,0.2488805549468785,0.4767383899964918,0.40522750360750337,0.19625284033853976,0.658984375
