run_order,part_index,repeat_round,source_block_index,run_id,sample_id,target_risk_level,traffic_manager_seed,source,config_path,expected_run_root
1,1,3,2,cvae_high_20260813_0074__tm_20260823__route_v3,cvae_high_20260813_0074,high,20260823,waypoint_controlled_repeatability_v3,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v3\configs\cvae_high_20260813_0074__tm_20260823__route_v3.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v3\cvae_high_20260813_0074__tm_20260823__route_v3
2,1,1,1,cvae_low_20260813_0001__tm_20260821__route_v3,cvae_low_20260813_0001,low,20260821,waypoint_controlled_repeatability_v3,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v3\configs\cvae_low_20260813_0001__tm_20260821__route_v3.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v3\cvae_low_20260813_0001__tm_20260821__route_v3
3,1,2,3,cvae_medium_20260813_0103__tm_20260822__route_v3,cvae_medium_20260813_0103,medium,20260822,waypoint_controlled_repeatability_v3,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v3\configs\cvae_medium_20260813_0103__tm_20260822__route_v3.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v3\cvae_medium_20260813_0103__tm_20260822__route_v3
4,2,3,3,cvae_medium_20260813_0103__tm_20260823__route_v3,cvae_medium_20260813_0103,medium,20260823,waypoint_controlled_repeatability_v3,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v3\configs\cvae_medium_20260813_0103__tm_20260823__route_v3.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v3\cvae_medium_20260813_0103__tm_20260823__route_v3
5,2,2,1,cvae_low_20260813_0001__tm_20260822__route_v3,cvae_low_20260813_0001,low,20260822,waypoint_controlled_repeatability_v3,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v3\configs\cvae_low_20260813_0001__tm_20260822__route_v3.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v3\cvae_low_20260813_0001__tm_20260822__route_v3
6,2,1,2,cvae_high_20260813_0074__tm_20260821__route_v3,cvae_high_20260813_0074,high,20260821,waypoint_controlled_repeatability_v3,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v3\configs\cvae_high_20260813_0074__tm_20260821__route_v3.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v3\cvae_high_20260813_0074__tm_20260821__route_v3
7,3,1,3,cvae_medium_20260813_0103__tm_20260821__route_v3,cvae_medium_20260813_0103,medium,20260821,waypoint_controlled_repeatability_v3,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v3\configs\cvae_medium_20260813_0103__tm_20260821__route_v3.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v3\cvae_medium_20260813_0103__tm_20260821__route_v3
8,3,2,2,cvae_high_20260813_0074__tm_20260822__route_v3,cvae_high_20260813_0074,high,20260822,waypoint_controlled_repeatability_v3,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v3\configs\cvae_high_20260813_0074__tm_20260822__route_v3.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v3\cvae_high_20260813_0074__tm_20260822__route_v3
9,3,3,1,cvae_low_20260813_0001__tm_20260823__route_v3,cvae_low_20260813_0001,low,20260823,waypoint_controlled_repeatability_v3,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v3\configs\cvae_low_20260813_0001__tm_20260823__route_v3.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v3\cvae_low_20260813_0001__tm_20260823__route_v3
