run_id,sample_id,target_risk_level,traffic_manager_seed,repeat_round,source,status,acceptance_status,acceptance_failures,runtime_verified,observed_risk_level,risk_score,target_match,collision_count,minimum_ttc_seconds,minimum_lead_gap_m,minimum_pedestrian_distance_m,sensor_status,server_status,route_status,route_ego_on_route_rate,route_lead_on_route_rate,route_both_on_route_rate,route_maximum_ego_deviation_m,route_maximum_lead_deviation_m,route_verified,rgb_frames,run_dir,metadata_path
cvae_high_20260813_0074__tm_20260821__route_v3,cvae_high_20260813_0074,high,20260821,1,waypoint_controlled_repeatability_v3,completed,completed,,True,medium,42.267,False,0,1.361,4.106,6.804,completed,healthy,completed,1.0,1.0,1.0,0.995,0.999,True,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v3\cvae_high_20260813_0074__tm_20260821__route_v3\20260814_134349,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v3\cvae_high_20260813_0074__tm_20260821__route_v3\20260814_134349\metadata.json
cvae_high_20260813_0074__tm_20260822__route_v3,cvae_high_20260813_0074,high,20260822,2,waypoint_controlled_repeatability_v3,completed,completed,,True,medium,42.137,False,0,1.364,4.157,6.803,completed,healthy,completed,1.0,1.0,1.0,0.993,0.999,True,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v3\cvae_high_20260813_0074__tm_20260822__route_v3\20260814_134508,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v3\cvae_high_20260813_0074__tm_20260822__route_v3\20260814_134508\metadata.json
cvae_high_20260813_0074__tm_20260823__route_v3,cvae_high_20260813_0074,high,20260823,3,waypoint_controlled_repeatability_v3,completed,completed,,True,medium,42.207,False,0,1.361,4.134,6.803,completed,healthy,completed,1.0,1.0,1.0,0.992,0.999,True,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v3\cvae_high_20260813_0074__tm_20260823__route_v3\20260814_134107,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v3\cvae_high_20260813_0074__tm_20260823__route_v3\20260814_134107\metadata.json
cvae_low_20260813_0001__tm_20260821__route_v3,cvae_low_20260813_0001,low,20260821,1,waypoint_controlled_repeatability_v3,completed,completed,,True,low,24.423,True,0,1.695,4.359,10.676,completed,healthy,completed,1.0,1.0,1.0,1.043,1.055,True,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v3\cvae_low_20260813_0001__tm_20260821__route_v3\20260814_134133,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v3\cvae_low_20260813_0001__tm_20260821__route_v3\20260814_134133\metadata.json
cvae_low_20260813_0001__tm_20260822__route_v3,cvae_low_20260813_0001,low,20260822,2,waypoint_controlled_repeatability_v3,completed,completed,,True,low,24.335,True,0,1.654,4.537,10.676,completed,healthy,completed,1.0,1.0,1.0,0.996,1.062,True,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v3\cvae_low_20260813_0001__tm_20260822__route_v3\20260814_134320,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v3\cvae_low_20260813_0001__tm_20260822__route_v3\20260814_134320\metadata.json
cvae_low_20260813_0001__tm_20260823__route_v3,cvae_low_20260813_0001,low,20260823,3,waypoint_controlled_repeatability_v3,completed,completed,,True,medium,25.074,False,0,1.693,4.062,10.678,completed,healthy,completed,1.0,1.0,1.0,1.021,1.03,True,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v3\cvae_low_20260813_0001__tm_20260823__route_v3\20260814_134537,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v3\cvae_low_20260813_0001__tm_20260823__route_v3\20260814_134537\metadata.json
cvae_medium_20260813_0103__tm_20260821__route_v3,cvae_medium_20260813_0103,medium,20260821,1,waypoint_controlled_repeatability_v3,completed,completed,,True,medium,28.052,True,0,1.677,4.245,10.23,completed,healthy,completed,1.0,1.0,1.0,0.997,0.999,True,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v3\cvae_medium_20260813_0103__tm_20260821__route_v3\20260814_134438,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v3\cvae_medium_20260813_0103__tm_20260821__route_v3\20260814_134438\metadata.json
cvae_medium_20260813_0103__tm_20260822__route_v3,cvae_medium_20260813_0103,medium,20260822,2,waypoint_controlled_repeatability_v3,completed,completed,,True,medium,26.857,True,0,1.724,4.646,10.235,completed,healthy,completed,1.0,1.0,1.0,0.995,0.996,True,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v3\cvae_medium_20260813_0103__tm_20260822__route_v3\20260814_134202,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v3\cvae_medium_20260813_0103__tm_20260822__route_v3\20260814_134202\metadata.json
cvae_medium_20260813_0103__tm_20260823__route_v3,cvae_medium_20260813_0103,medium,20260823,3,waypoint_controlled_repeatability_v3,completed,completed,,True,medium,27.081,True,0,1.743,4.478,10.233,completed,healthy,completed,1.0,1.0,1.0,0.999,0.997,True,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v3\cvae_medium_20260813_0103__tm_20260823__route_v3\20260814_134251,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v3\cvae_medium_20260813_0103__tm_20260823__route_v3\20260814_134251\metadata.json
