sample_id,target_risk_level,completed_runs,expected_runs,seeds,score_mean,score_std,score_min,score_max,score_range,modal_observed_level,level_consistency_rate,all_levels_equal,target_match_rate,collision_runs,collision_events
cvae_high_20260813_0074,high,3,3,"20260821,20260822,20260823",42.20366666666666,0.06506407098647837,42.137,42.267,0.13000000000000256,medium,1.0,True,0.0,0,0
cvae_low_20260813_0001,low,3,3,"20260821,20260822,20260823",24.610666666666663,0.4036636388545966,24.335,25.074,0.7390000000000008,low,0.6666666666666666,False,0.6666666666666666,0,0
cvae_medium_20260813_0103,medium,3,3,"20260821,20260822,20260823",27.33,0.6352220084348464,26.857,28.052,1.1950000000000003,medium,1.0,True,1.0,0,0
