run_order,group_index,part_index,run_id,sample_id,generator,target_risk_level,selection_index,repeat_round,traffic_manager_seed,source,config_path,expected_run_root
98,9,25,cvae_high_20260813_0033__tm_20260821__generator_compare_v1,cvae_high_20260813_0033,cvae,high,1,1,20260821,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\cvae_high_20260813_0033__tm_20260821__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\cvae_high_20260813_0033__tm_20260821__generator_compare_v1
99,9,25,lhs_low_20260813_0077__tm_20260823__generator_compare_v1,lhs_low_20260813_0077,lhs,low,3,3,20260823,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\lhs_low_20260813_0077__tm_20260823__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\lhs_low_20260813_0077__tm_20260823__generator_compare_v1
100,9,25,gmm_medium_20260813_0010__tm_20260822__generator_compare_v1,gmm_medium_20260813_0010,gmm,medium,2,2,20260822,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\gmm_medium_20260813_0010__tm_20260822__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\gmm_medium_20260813_0010__tm_20260822__generator_compare_v1
101,9,26,gmm_low_20260813_0072__tm_20260821__generator_compare_v1,gmm_low_20260813_0072,gmm,low,1,1,20260821,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\gmm_low_20260813_0072__tm_20260821__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\gmm_low_20260813_0072__tm_20260821__generator_compare_v1
102,9,26,gmm_critical_20260813_0067__tm_20260821__generator_compare_v1,gmm_critical_20260813_0067,gmm,critical,1,1,20260821,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\gmm_critical_20260813_0067__tm_20260821__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\gmm_critical_20260813_0067__tm_20260821__generator_compare_v1
103,9,26,lhs_high_20260813_0077__tm_20260822__generator_compare_v1,lhs_high_20260813_0077,lhs,high,2,2,20260822,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\lhs_high_20260813_0077__tm_20260822__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\lhs_high_20260813_0077__tm_20260822__generator_compare_v1
104,9,26,cvae_medium_20260813_0103__tm_20260823__generator_compare_v1,cvae_medium_20260813_0103,cvae,medium,3,3,20260823,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\cvae_medium_20260813_0103__tm_20260823__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\cvae_medium_20260813_0103__tm_20260823__generator_compare_v1
105,9,27,cvae_critical_20260813_0042__tm_20260822__generator_compare_v1,cvae_critical_20260813_0042,cvae,critical,2,2,20260822,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\cvae_critical_20260813_0042__tm_20260822__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\cvae_critical_20260813_0042__tm_20260822__generator_compare_v1
106,9,27,lhs_medium_20260813_0110__tm_20260821__generator_compare_v1,lhs_medium_20260813_0110,lhs,medium,1,1,20260821,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\lhs_medium_20260813_0110__tm_20260821__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\lhs_medium_20260813_0110__tm_20260821__generator_compare_v1
107,9,27,gmm_high_20260813_0005__tm_20260823__generator_compare_v1,gmm_high_20260813_0005,gmm,high,3,3,20260823,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\gmm_high_20260813_0005__tm_20260823__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\gmm_high_20260813_0005__tm_20260823__generator_compare_v1
108,9,27,cvae_low_20260813_0115__tm_20260822__generator_compare_v1,cvae_low_20260813_0115,cvae,low,2,2,20260822,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\cvae_low_20260813_0115__tm_20260822__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\cvae_low_20260813_0115__tm_20260822__generator_compare_v1
