run_order,group_index,part_index,run_id,sample_id,generator,target_risk_level,selection_index,repeat_round,traffic_manager_seed,source,config_path,expected_run_root
50,5,13,cvae_high_20260813_0067__tm_20260823__generator_compare_v1,cvae_high_20260813_0067,cvae,high,2,3,20260823,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\cvae_high_20260813_0067__tm_20260823__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\cvae_high_20260813_0067__tm_20260823__generator_compare_v1
51,5,13,lhs_low_20260813_0128__tm_20260822__generator_compare_v1,lhs_low_20260813_0128,lhs,low,1,2,20260822,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\lhs_low_20260813_0128__tm_20260822__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\lhs_low_20260813_0128__tm_20260822__generator_compare_v1
52,5,13,gmm_medium_20260813_0077__tm_20260821__generator_compare_v1,gmm_medium_20260813_0077,gmm,medium,3,1,20260821,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\gmm_medium_20260813_0077__tm_20260821__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\gmm_medium_20260813_0077__tm_20260821__generator_compare_v1
53,5,14,cvae_medium_20260813_0082__tm_20260822__generator_compare_v1,cvae_medium_20260813_0082,cvae,medium,1,2,20260822,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\cvae_medium_20260813_0082__tm_20260822__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\cvae_medium_20260813_0082__tm_20260822__generator_compare_v1
54,5,14,lhs_high_20260813_0106__tm_20260821__generator_compare_v1,lhs_high_20260813_0106,lhs,high,3,1,20260821,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\lhs_high_20260813_0106__tm_20260821__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\lhs_high_20260813_0106__tm_20260821__generator_compare_v1
55,5,14,gmm_low_20260813_0012__tm_20260823__generator_compare_v1,gmm_low_20260813_0012,gmm,low,2,3,20260823,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\gmm_low_20260813_0012__tm_20260823__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\gmm_low_20260813_0012__tm_20260823__generator_compare_v1
56,5,14,gmm_critical_20260813_0072__tm_20260823__generator_compare_v1,gmm_critical_20260813_0072,gmm,critical,2,3,20260823,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\gmm_critical_20260813_0072__tm_20260823__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\gmm_critical_20260813_0072__tm_20260823__generator_compare_v1
57,5,15,cvae_critical_20260813_0030__tm_20260821__generator_compare_v1,cvae_critical_20260813_0030,cvae,critical,3,1,20260821,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\cvae_critical_20260813_0030__tm_20260821__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\cvae_critical_20260813_0030__tm_20260821__generator_compare_v1
58,5,15,cvae_low_20260813_0034__tm_20260821__generator_compare_v1,cvae_low_20260813_0034,cvae,low,3,1,20260821,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\cvae_low_20260813_0034__tm_20260821__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\cvae_low_20260813_0034__tm_20260821__generator_compare_v1
59,5,15,gmm_high_20260813_0049__tm_20260822__generator_compare_v1,gmm_high_20260813_0049,gmm,high,1,2,20260822,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\gmm_high_20260813_0049__tm_20260822__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\gmm_high_20260813_0049__tm_20260822__generator_compare_v1
