generator,selected_scenarios,planned_runs,completed_runs,accepted_runs,route_verified_runs,score_mean,score_std,target_match_rate,high_or_critical_rate,critical_rate,collision_run_rate,target_score_ordinal_correlation,mean_scores_strictly_increasing,mean_within_scenario_score_std,maximum_within_scenario_score_std,seed_mean_score_range,mean_within_level_pairwise_distance,design_record_rate,design_field_rate
lhs,12,36,36,36,36,38.75952777777778,11.497345433958996,0.5833333333333334,0.3333333333333333,0.0,0.0,0.937245052039926,True,0.2938372240871064,1.42136694769507,0.3785833333333386,0.6185576733133432,1.0,1.0
gmm,12,36,36,36,36,45.34147222222222,22.42222817331831,0.5555555555555556,0.25,0.25,0.25,0.8218741635960567,True,0.36876232304476436,0.8911436472309061,0.2745833333333323,0.5408893249324824,0.6666666666666666,0.9722222222222222
cvae,12,36,36,36,36,36.0975,10.72946344151734,0.4722222222222222,0.08333333333333333,0.0,0.0,0.9539177805639754,True,0.6343020719170079,1.2082319037888931,0.29608333333332837,0.3396709456645696,0.9166666666666666,0.9888888888888889
