run_order,part_index,repeat_round,source_block_index,run_id,sample_id,target_risk_level,traffic_manager_seed,source,config_path,expected_run_root
1,1,2,1,cvae_medium_20260813_0082__tm_20260822__route_v4,cvae_medium_20260813_0082,medium,20260822,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_medium_20260813_0082__tm_20260822__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_medium_20260813_0082__tm_20260822__route_v4
2,1,1,3,cvae_low_20260813_0034__tm_20260821__route_v4,cvae_low_20260813_0034,low,20260821,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_low_20260813_0034__tm_20260821__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_low_20260813_0034__tm_20260821__route_v4
3,1,1,3,cvae_critical_20260813_0030__tm_20260821__route_v4,cvae_critical_20260813_0030,critical,20260821,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_critical_20260813_0030__tm_20260821__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_critical_20260813_0030__tm_20260821__route_v4
4,1,3,2,cvae_high_20260813_0074__tm_20260823__route_v4,cvae_high_20260813_0074,high,20260823,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_high_20260813_0074__tm_20260823__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_high_20260813_0074__tm_20260823__route_v4
5,2,2,1,cvae_low_20260813_0001__tm_20260822__route_v4,cvae_low_20260813_0001,low,20260822,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_low_20260813_0001__tm_20260822__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_low_20260813_0001__tm_20260822__route_v4
6,2,3,2,cvae_medium_20260813_0061__tm_20260823__route_v4,cvae_medium_20260813_0061,medium,20260823,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_medium_20260813_0061__tm_20260823__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_medium_20260813_0061__tm_20260823__route_v4
7,2,2,1,cvae_critical_20260813_0046__tm_20260822__route_v4,cvae_critical_20260813_0046,critical,20260822,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_critical_20260813_0046__tm_20260822__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_critical_20260813_0046__tm_20260822__route_v4
8,2,1,3,cvae_high_20260813_0043__tm_20260821__route_v4,cvae_high_20260813_0043,high,20260821,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_high_20260813_0043__tm_20260821__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_high_20260813_0043__tm_20260821__route_v4
9,3,3,2,cvae_low_20260813_0122__tm_20260823__route_v4,cvae_low_20260813_0122,low,20260823,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_low_20260813_0122__tm_20260823__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_low_20260813_0122__tm_20260823__route_v4
10,3,1,3,cvae_medium_20260813_0103__tm_20260821__route_v4,cvae_medium_20260813_0103,medium,20260821,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_medium_20260813_0103__tm_20260821__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_medium_20260813_0103__tm_20260821__route_v4
11,3,2,1,cvae_high_20260813_0033__tm_20260822__route_v4,cvae_high_20260813_0033,high,20260822,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_high_20260813_0033__tm_20260822__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_high_20260813_0033__tm_20260822__route_v4
12,3,3,2,cvae_critical_20260813_0058__tm_20260823__route_v4,cvae_critical_20260813_0058,critical,20260823,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_critical_20260813_0058__tm_20260823__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_critical_20260813_0058__tm_20260823__route_v4
13,4,3,3,cvae_high_20260813_0043__tm_20260823__route_v4,cvae_high_20260813_0043,high,20260823,waypoint_controlled_repeatability_v4,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v4\configs\cvae_high_20260813_0043__tm_20260823__route_v4.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_high_20260813_0043__tm_20260823__route_v4
