model,grouping,generator,target_risk_level,collision_status,sample_count,observed_score_mean,predicted_score_mean,mean_bias,mae,rmse_of_mean_prediction,mean_prediction_std,mean_rank_std,mean_top_k_frequency
random_forest,generator,cvae,all,all,12,36.097500000000004,39.797615345281585,3.700115345281582,3.8504862294789803,4.791756307648461,1.7601489557519534,2.125405821597729,0.265
random_forest,generator,gmm,all,all,12,45.34147222222222,40.21433002302021,-5.127142199202011,10.339357071455096,16.065579619407647,1.0808300411206613,1.470497353556525,0.23166666666666666
random_forest,generator,lhs,all,all,12,38.75952777777778,40.80834422749539,2.04881644971761,2.8682984168572614,3.8528162988400627,1.787012486544514,1.9023752564625267,0.25333333333333335
random_forest,target_risk_level,all,critical,all,9,56.77425925925926,56.76338205992009,-0.010877199339170652,13.06645804087515,15.997123071043738,2.903658211630808,2.294945441689259,0.8733333333333333
random_forest,target_risk_level,all,high,all,9,49.31533333333333,48.442637744278485,-0.8726955890548456,7.374820891805616,11.611541221418006,2.310267356846326,2.483129333586845,0.12666666666666665
random_forest,target_risk_level,all,low,all,9,24.761481481481482,25.316112905285763,0.5546314238042795,0.6092479549855789,0.68918296537309,0.21399185087385486,1.4459927768945202,0.0
random_forest,target_risk_level,all,medium,all,9,29.413592592592593,30.571586751578568,1.157994158985977,1.6936620693887707,1.8256920211599639,0.7427378918718498,1.1069703566517493,0.0
random_forest,collision_status,all,all,collision,3,81.24866666666667,51.103264618022536,-30.145402048644126,30.145402048644126,30.37210588426532,1.5277491463447153,1.8054224236288057,0.4533333333333333
random_forest,collision_status,all,all,no_collision,33,36.322303030303026,39.28889943319693,2.966596402893895,3.4624695293201113,4.872623578945638,1.5440197079385274,1.8352446638943924,0.2315151515151515
random_forest,generator__target_risk_level,cvae,critical,all,3,49.351333333333336,56.68780053923813,7.3364672059048,7.711948177721382,7.6670164373212,3.3547418761693186,2.6876086784012707,0.8933333333333332
random_forest,generator__target_risk_level,cvae,high,all,3,43.08555555555555,48.33824192530998,5.252686369754411,5.387001098522515,5.411669201960949,2.8497032104657882,3.129187313854801,0.16666666666666666
random_forest,generator__target_risk_level,cvae,low,all,3,24.461000000000002,25.03986333650955,0.5788633365095505,0.6299406868505266,0.7268027706204615,0.17778166053535013,1.2248937715470032,0.0
random_forest,generator__target_risk_level,cvae,medium,all,3,27.492111111111114,29.124555580068677,1.6324444689575641,1.673054954821496,1.8017122907300065,0.6583690758373578,1.4599335225878411,0.0
random_forest,generator__target_risk_level,gmm,critical,all,3,70.4328888888889,56.36958367630643,-14.06330521258245,24.663351141652512,25.651046668813493,1.8178091933259564,1.6245863430150445,0.7866666666666666
random_forest,generator__target_risk_level,gmm,high,all,3,55.92644444444445,48.23454560803403,-7.691898836410412,13.9056171883066,19.201046391440606,1.5799046491932873,1.7287866009799122,0.13999999999999999
random_forest,generator__target_risk_level,gmm,low,all,3,24.848333333333333,25.43575692585165,0.5874235925183159,0.5934910939458179,0.6373912594252269,0.1832654420330375,1.5258139148875396,0.0
random_forest,generator__target_risk_level,gmm,medium,all,3,30.15822222222222,30.81743388188872,0.6592116596665033,2.1949688619154473,2.312736189151617,0.7423408799303631,1.0028025553436033,0.0
random_forest,generator__target_risk_level,lhs,critical,all,3,50.538555555555554,57.232761964215705,6.694206408660139,6.8240748032515555,7.1389427364672455,3.5384235653971494,2.572641303651462,0.94
random_forest,generator__target_risk_level,lhs,high,all,3,48.934,48.755125699491465,-0.17887430050853603,2.83184438858773,2.5529047244975085,2.5011942108799015,2.5914140859258232,0.07333333333333333
random_forest,generator__target_risk_level,lhs,low,all,3,24.975111111111108,25.472718453496086,0.4976073423849719,0.604312084160392,0.7002925062486969,0.280928450053177,1.587270644249018,0.0
random_forest,generator__target_risk_level,lhs,medium,all,3,30.590444444444444,31.772770792778307,1.182326348333863,1.212962391429369,1.1851321484131419,0.8275037198478287,0.8581749920238023,0.0
