model,sample_id,generator,target_risk_level,observed_risk_score,simulation_score_std,collision_status,collision_event_total,collision_run_rate,predicted_score_mean,predicted_score_std,predicted_score_p05,predicted_score_p95,mean_error,mean_absolute_error,actual_rank,predicted_rank_mean,predicted_rank_std,predicted_rank_min,predicted_rank_max,top_k,top_k_selection_frequency
random_forest,cvae_critical_20260813_0030,cvae,critical,46.97633333333333,0.8245619038818934,no_collision,0,0.0,56.002003565893034,2.259576781699231,51.98068134925038,60.610864145634956,9.02567023255971,9.02567023255971,11.0,5.64,2.116601048851672,2.0,12.0,9,0.94
random_forest,cvae_critical_20260813_0042,cvae,critical,48.01533333333333,1.1302797588797793,no_collision,0,0.0,56.80916119573671,2.8486402081656292,53.67543611547621,61.38448253075396,8.793827862403393,8.793827862403393,10.0,5.18,2.047297870713632,2.0,8.0,9,1.0
random_forest,cvae_critical_20260813_0046,cvae,critical,53.062333333333335,0.0822030007562588,no_collision,0,0.0,57.25223685608463,4.956008638643095,50.39105831527778,64.40651935094795,4.189903522751297,5.3163464382010455,4.0,5.32,3.8989271156385095,1.0,13.0,9,0.74
random_forest,cvae_high_20260813_0033,cvae,high,45.74666666666666,0.4374669511326931,no_collision,0,0.0,50.50219689607423,4.211250065922922,44.47746085004212,56.5260985861111,4.755530229407562,5.158474415711875,13.0,11.42,4.571830339487811,4.0,18.0,9,0.44
random_forest,cvae_high_20260813_0043,cvae,high,40.77,0.775626843269367,no_collision,0,0.0,47.806777711690714,2.775241965146199,44.04133302951939,52.12838176624777,7.036777711690701,7.036777711690701,18.0,14.3,2.977809083667976,8.0,18.0,9,0.06
random_forest,cvae_high_20260813_0067,cvae,high,42.74,0.0251197133741619,no_collision,0,0.0,46.70575116816498,1.5626176003282435,44.461113201256616,49.46403943150352,3.9657511681649713,3.9657511681649713,17.0,15.36,1.8379225184086163,11.0,18.0,9,0.0
random_forest,cvae_low_20260813_0001,cvae,low,25.207666666666668,1.2082319037888931,no_collision,0,0.0,25.313155293641977,0.3158996416195207,24.943348946097867,25.883328520568785,0.1054886269753095,0.25872067799823795,29.0,32.0,1.8735538640862859,29.0,35.0,9,0.0
random_forest,cvae_low_20260813_0034,cvae,low,24.413666666666668,0.4834297604961187,no_collision,0,0.0,24.88039570463044,0.11436464230029889,24.708604488734576,25.082834612059077,0.4667290379637712,0.4667290379637712,34.0,35.04,0.8320125587749162,33.0,36.0,9,0.0
random_forest,cvae_low_20260813_0115,cvae,low,23.761666666666667,0.3309159006958317,no_collision,0,0.0,24.92603901125624,0.10308069768623075,24.760455108774273,25.09254595568784,1.1643723445895708,1.1643723445895708,36.0,34.86,0.9691148917798074,33.0,36.0,9,0.0
random_forest,cvae_medium_20260813_0061,cvae,medium,26.52133333333333,0.9443571005363032,no_collision,0,0.0,29.15246317992465,0.5981321371548709,28.167435097839512,30.022975369841276,2.6311298465913113,2.6311298465913113,27.0,25.16,1.5696093365508994,22.0,27.0,9,0.0
random_forest,cvae_medium_20260813_0082,cvae,medium,28.422666666666668,1.1825702234257938,no_collision,0,0.0,29.20376136039923,0.6791942942137615,27.959888233044705,30.074225255423297,0.7810946937325614,0.902926151324356,23.0,25.26,1.3674048114466129,23.0,27.0,9,0.0
random_forest,cvae_medium_20260813_0103,cvae,medium,27.532333333333334,0.1868618027670015,no_collision,0,0.0,29.017442199882154,0.6977807961434411,28.00279416419752,30.1654063965388,1.4851088665488197,1.4851088665488197,26.0,25.6,1.442786419766011,22.0,27.0,9,0.0
random_forest,gmm_critical_20260813_0004,gmm,critical,85.42566666666667,0.0126622799421471,collision,18,1.0,52.2640469361127,1.2878903848037995,50.49494769265874,54.117578952821866,-33.161619730553966,33.161619730553966,1.0,9.42,1.6299492918117273,7.0,13.0,9,0.6
random_forest,gmm_critical_20260813_0067,gmm,critical,79.342,0.2217363299055828,collision,3,1.0,54.41363519920151,2.1784816156444995,50.92574653079803,57.731601139682496,-24.92836480079848,24.92836480079848,2.0,7.18,2.5369916299846644,3.0,12.0,9,0.76
random_forest,gmm_critical_20260813_0072,gmm,critical,46.531,0.1163486140871474,no_collision,0,0.0,62.4310688936051,1.9870555795295701,59.35714966307319,65.16689224296738,15.900068893605093,15.900068893605093,12.0,1.52,0.7068181072487417,1.0,3.0,9,1.0
