repeat_index,prediction_spearman,top_k_jaccard
0,0.8985842985842986,0.5
1,0.8676962676962677,0.8
2,0.942857142857143,0.8
3,0.9196911196911197,0.8
4,0.9595881595881596,0.6363636363636364
5,0.8839124839124839,0.5
6,0.9253539253539254,0.6363636363636364
7,0.9410553410553412,0.6363636363636364
8,0.8911196911196911,0.6363636363636364
9,0.8996138996138996,0.8
10,0.9148005148005149,1.0
11,0.8990990990990991,0.6363636363636364
12,0.920978120978121,0.8
13,0.9024453024453025,0.6363636363636364
14,0.8900900900900902,0.6363636363636364
15,0.9073359073359073,0.6363636363636364
16,0.9639639639639641,0.6363636363636364
17,0.9173745173745174,0.6363636363636364
18,0.9132561132561132,0.6363636363636364
19,0.8741312741312742,0.6363636363636364
20,0.9469755469755471,0.6363636363636364
21,0.9024453024453025,0.6363636363636364
22,0.8751608751608752,0.6363636363636364
23,0.936936936936937,0.8
24,0.8723294723294724,0.6363636363636364
25,0.9083655083655084,0.8
26,0.8718146718146719,0.5
27,0.918918918918919,0.8
28,0.8743886743886745,0.5
29,0.9132561132561132,0.6363636363636364
30,0.884942084942085,0.5
31,0.9281853281853283,0.6363636363636364
32,0.9163449163449164,0.8
33,0.928957528957529,0.8
34,0.9253539253539254,0.6363636363636364
35,0.908880308880309,1.0
36,0.9101673101673103,0.6363636363636364
37,0.8949806949806951,0.5
38,0.9258687258687259,0.6363636363636364
39,0.8942084942084944,0.5
40,0.9109395109395111,0.5
41,0.8885456885456886,0.6363636363636364
42,0.9531531531531532,0.8
43,0.9109395109395111,0.6363636363636364
44,0.9140283140283142,0.8
45,0.9456885456885458,0.8
46,0.9160875160875163,0.6363636363636364
47,0.9014157014157014,0.6363636363636364
48,0.8952380952380953,0.8
49,0.8846846846846849,0.8
