selection_order,stratum,sample_id,robust_rank,robust_predicted_risk_score,predicted_risk_mean,predicted_risk_std,predicted_collision_probability_mean,predicted_collision_probability_std,collision_boundary_score,bootstrap_top_k_frequency,selection_risk_target,selection_probability_target
1,mid_low_collision,lhs_high_20260817_0192,22,58.164662948537114,60.01333475102454,3.6973436049748494,0.3223323633156966,,0.24666548247205533,0.20666666666666667,57.5,0.25
2,near_high_low_collision,lhs_high_20260817_0112,181,49.529206779795686,51.70236172763351,4.346309895675648,0.2567742239858907,,0.42140343320764007,0.013333333333333334,49.5,0.2
3,mid_high_collision,lhs_high_20260817_0120,11,59.12150895389446,61.74005993553342,5.237101963277914,0.5162394171877508,,0.4668450606850961,0.4866666666666667,59.5,0.58
4,high_threshold_uncertain_collision,lhs_high_20260817_0099,111,52.43302092937532,54.89325641896103,4.920470979171421,0.3645281473464807,,0.2197004265786056,0.04666666666666667,52.5,0.42
5,mid_uncertain_collision,lhs_high_20260817_0103,26,57.51412682597903,60.01018910175256,4.992124551547067,0.47815540564373893,,0.19070106614502572,0.41333333333333333,57.5,0.42
6,upper_high_collision,lhs_high_20260817_0048,3,64.24943404155607,66.57525229211078,4.6516365011094205,0.5627656878306879,,0.1197569215507307,0.8666666666666667,64.5,0.67
