generator,scene_count,risk_score_mean,risk_score_std,risk_score_min,risk_score_max,high_or_critical_count,high_or_critical_rate,collision_scene_count,collision_scene_rate,target_match_count,target_match_rate,operational_quality_mean,diversity_score_mean,low_diversity_count,run_level_count,aggregate_count
cvae,39,56.46141025641027,19.41564099142861,23.761666666666667,89.45966666666668,24,0.6153846153846154,12,0.3076923076923077,16,0.41025641025641024,0.8778189555299503,0.2119204454836607,28,12,27
gmm,39,59.64689743589744,21.475423665516175,24.410666666666668,97.04,24,0.6153846153846154,15,0.38461538461538464,17,0.4358974358974359,0.8899314886034807,0.46716288342863804,1,12,27
lhs,39,56.94689743589743,18.979259768265567,24.474333333333334,90.919,24,0.6153846153846154,12,0.3076923076923077,17,0.4358974358974359,0.8880290314984682,0.49894448477814307,1,12,27
